column,decision,reason
_row_id,DROP_TECHNICAL,Identifiant ou métadonnée technique
year,KEEP,Feature retenue pour le modèle V1
coo_id,KEEP,Feature retenue pour le modèle V1
coo_name,DROP_REDUNDANT,Référentiel descriptif redondant
coo,DROP_REDUNDANT,Référentiel descriptif redondant
coo_iso,DROP_REDUNDANT,Référentiel descriptif redondant
coa_id,KEEP,Feature retenue pour le modèle V1
coa_name,DROP_REDUNDANT,Référentiel descriptif redondant
coa,DROP_REDUNDANT,Référentiel descriptif redondant
coa_iso,DROP_REDUNDANT,Référentiel descriptif redondant
procedure_type,KEEP,Feature retenue pour le modèle V1
app_type,KEEP,Feature retenue pour le modèle V1
dec_level,KEEP,Feature retenue pour le modèle V1
app_pc,KEEP,Feature retenue pour le modèle V1
applied,KEEP,Feature retenue pour le modèle V1
_demand_row_id,DROP_TECHNICAL,Identifiant ou métadonnée technique
has_asylum_application_data,DROP_LOW_VALUE,Indicateur non retenu dans le Feature Set V1
decisions_recognized,DROP_T0_UNCERTAIN,Disponibilité à T non garantie ; version lag1 privilégiée
decisions_other,DROP_T0_UNCERTAIN,Disponibilité à T non garantie ; version lag1 privilégiée
decisions_rejected,DROP_T0_UNCERTAIN,Disponibilité à T non garantie ; version lag1 privilégiée
decisions_closed,DROP_T0_UNCERTAIN,Disponibilité à T non garantie ; version lag1 privilégiée
decisions_total,DROP_T0_UNCERTAIN,Disponibilité à T non garantie ; version lag1 privilégiée
decisions_source_rows,DROP_TECHNICAL,Identifiant ou métadonnée technique
recognition_rate,DROP_T0_UNCERTAIN,Disponibilité à T non garantie ; version lag1 privilégiée
rejection_rate,DROP_T0_UNCERTAIN,Disponibilité à T non garantie ; version lag1 privilégiée
has_decisions_data,DROP_T0_UNCERTAIN,Disponibilité à T non garantie ; version lag1 privilégiée
returned_refugees,DROP_MISSINGNESS,Variable de solution trop incomplète pour la V1
resettlement,DROP_MISSINGNESS,Variable de solution trop incomplète pour la V1
naturalisation,DROP_MISSINGNESS,Variable de solution trop incomplète pour la V1
returned_idps,DROP_MISSINGNESS,Variable de solution trop incomplète pour la V1
solutions_source_rows,DROP_TECHNICAL,Identifiant ou métadonnée technique
has_solutions_data,DROP_MISSINGNESS,Variable de solution trop incomplète pour la V1
origin_iso,DROP_REDUNDANT,Référentiel descriptif redondant
origin_iso2,DROP_REDUNDANT,Référentiel descriptif redondant
origin_country,DROP_REDUNDANT,Référentiel descriptif redondant
origin_country_fr,DROP_REDUNDANT,Référentiel descriptif redondant
origin_region,KEEP,Feature retenue pour le modèle V1
origin_region_fr,DROP_REDUNDANT,Référentiel descriptif redondant
origin_major_area,DROP_REDUNDANT,Référentiel descriptif redondant
origin_major_area_fr,DROP_REDUNDANT,Référentiel descriptif redondant
asylum_iso,DROP_REDUNDANT,Référentiel descriptif redondant
asylum_iso2,DROP_REDUNDANT,Référentiel descriptif redondant
asylum_country,DROP_REDUNDANT,Référentiel descriptif redondant
