dataset,row_id,column,dimension_quality,rule,observed_value,severity,action
idmc,0,year,VALIDITY,YEAR_OUT_OF_RANGE,1990.0,WARNING,Preserved for investigation
idmc,1,year,VALIDITY,YEAR_OUT_OF_RANGE,1991.0,WARNING,Preserved for investigation
idmc,2,year,VALIDITY,YEAR_OUT_OF_RANGE,1992.0,WARNING,Preserved for investigation
idmc,3,year,VALIDITY,YEAR_OUT_OF_RANGE,1993.0,WARNING,Preserved for investigation
idmc,4,year,VALIDITY,YEAR_OUT_OF_RANGE,1994.0,WARNING,Preserved for investigation
idmc,5,year,VALIDITY,YEAR_OUT_OF_RANGE,1995.0,WARNING,Preserved for investigation
idmc,6,year,VALIDITY,YEAR_OUT_OF_RANGE,1996.0,WARNING,Preserved for investigation
idmc,7,year,VALIDITY,YEAR_OUT_OF_RANGE,1997.0,WARNING,Preserved for investigation
idmc,8,year,VALIDITY,YEAR_OUT_OF_RANGE,1998.0,WARNING,Preserved for investigation
idmc,9,year,VALIDITY,YEAR_OUT_OF_RANGE,1999.0,WARNING,Preserved for investigation
solutions,0,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,1,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,2,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,3,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,4,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,5,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,6,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,7,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,8,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,9,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,10,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,11,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,12,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,13,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,14,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
solutions,15,year,VALIDITY,YEAR_OUT_OF_RANGE,1959.0,WARNING,Preserved for investigation
