year,coo_id,idmc_total,asylum_applications,demandes_source_rows,decisions_recognized,decisions_other,decisions_rejected,decisions_closed,decisions_total,decisions_source_rows,recognition_rate,returned_refugees,resettlement,naturalisation,returned_idps,solutions_source_rows,country_iso,country_name,country_region,has_asylum_data,has_decisions_data,has_solutions_data
2014,263,20000,,,,,,,,,,,,,,,,,,0,0,0
2015,263,82000,,,,,,,,,,,,,,,,,,0,0,0
2016,263,20000,,,,,,,,,,,,,,,,,,0,0,0
2017,263,31000,,,,,,,,,,,,,,,,,,0,0,0
2018,263,31000,,,,,,,,,,,,,,,,,,0,0,0
2019,263,31000,,,,,,,,,,,,,,,,,,0,0,0
2020,263,19000,,,,,,,,,,,,,,,,,,0,0,0
2021,263,15000,,,,,,,,,,,,,,,,,,0,0,0
2022,263,56000,,,,,,,,,,,,,,,,,,0,0,0
2023,263,42000,,,,,,,,,,,,,,,,,,0,0,0
2024,263,42000,,,,,,,,,,,,,,,,,,0,0,0
2025,263,58000,,,,,,,,,,,,,,,,,,0,0,0
