year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,total
1990,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,21300000
1991,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,22500000
1992,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,25000000
1993,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,27500000
1994,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,28000000
1995,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,22000000
1996,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,19700000
1997,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,17400000
1998,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,19300000
1999,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,21300000
2000,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,21200000
2001,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,25000000
2002,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,25000000
2003,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,24600000
2004,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,25300000
2005,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,23300000
2006,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,24400000
2007,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,26000000
2008,262,Unknown ,UKN,UNK,262,Unknown ,UKN,UNK,26000000
2009,2,Afghanistan,AFG,AFG,2,Afghanistan,AFG,AFG,297000
2009,10,Armenia,ARM,ARM,10,Armenia,ARM,ARM,8400
2009,13,Azerbaijan,AZE,AZE,13,Azerbaijan,AZE,AZE,586000
2009,16,Burundi,BDI,BDI,16,Burundi,BDI,BDI,100000
2009,20,Bangladesh,BGD,BGD,20,Bangladesh,BGD,BGD,426000
2009,29,Bosnia and Herzegovina,BSN,BIH,29,Bosnia and Herzegovina,BSN,BIH,114000
2009,34,Central African Rep.,CAR,CAF,34,Central African Rep.,CAR,CAF,162000
2009,36,Chad,CHD,TCD,36,Chad,CHD,TCD,168000
2009,40,Congo,COB,COG,40,Congo,COB,COG,7800
2009,41,Dem. Rep. of the Congo,COD,COD,41,Dem. Rep. of the Congo,COD,COD,1900000
2009,44,Colombia,COL,COL,44,Colombia,COL,COL,4916000
2009,48,Cyprus,CYP,CYP,48,Cyprus,CYP,CYP,201000
2009,56,Eritrea,ERT,ERI,56,Eritrea,ERT,ERI,10000
2009,58,Ethiopia,ETH,ETH,58,Ethiopia,ETH,ETH,350000
2009,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,160000
2009,71,Georgia,GEO,GEO,71,Georgia,GEO,GEO,240000
2009,84,Croatia,HRV,HRV,84,Croatia,HRV,HRV,2400
2009,87,Cote d'Ivoire,ICO,CIV,87,Cote d'Ivoire,ICO,CIV,342000
2009,88,India,IND,IND,88,India,IND,IND,500000
2009,89,Indonesia,INS,IDN,89,Indonesia,INS,IDN,70000
2009,92,Iraq,IRQ,IRQ,92,Iraq,IRQ,IRQ,2764000
2009,99,Kenya,KEN,KEN,99,Kenya,KEN,KEN,250000
2009,106,Liberia,LBR,LBR,106,Liberia,LBR,LBR,23000
2009,109,Lebanon,LEB,LBN,109,Lebanon,LEB,LBN,90000
2009,112,Sri Lanka,LKA,LKA,112,Sri Lanka,LKA,LKA,400000
2009,120,North Macedonia,MCD,MKD,120,North Macedonia,MCD,MKD,640
2009,124,Mexico,MEX,MEX,124,Mexico,MEX,MEX,8000
2009,135,Myanmar,MYA,MMR,135,Myanmar,MYA,MMR,470000
2009,137,Nepal,NEP,NPL,137,Nepal,NEP,NPL,60000
2009,139,Niger,NGR,NER,139,Niger,NGR,NER,11000
2009,147,Pakistan,PAK,PAK,147,Pakistan,PAK,PAK,1230000
2009,150,Peru,PER,PER,150,Peru,PER,PER,150000
2009,151,Philippines,PHI,PHL,151,Philippines,PHI,PHL,125000
2009,160,Russian Federation,RUS,RUS,160,Russian Federation,RUS,RUS,80000
2009,165,Senegal,SEN,SEN,165,Senegal,SEN,SEN,24000
2009,172,Somalia,SOM,SOM,172,Somalia,SOM,SOM,1500000
2009,164,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,164,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,245000
2009,177,Sudan,SUD,SDN,177,Sudan,SUD,SDN,4900000
2009,185,Syrian Arab Rep.,SYR,SYR,185,Syrian Arab Rep.,SYR,SYR,433000
2009,190,Turkmenistan,TKM,TKM,190,Turkmenistan,TKM,TKM,4000
2009,191,Timor-Leste,TMP,TLS,191,Timor-Leste,TMP,TLS,400
2009,192,Togo,TOG,TGO,192,Togo,TOG,TGO,10000
2009,196,Türkiye,TUR,TUR,196,Türkiye,TUR,TUR,1000000
2009,199,Uganda,UGA,UGA,199,Uganda,UGA,UGA,435000
2009,203,Uzbekistan,UZB,UZB,203,Uzbekistan,UZB,UZB,3400
2009,211,Yemen,YEM,YEM,211,Yemen,YEM,YEM,175000
2010,2,Afghanistan,AFG,AFG,2,Afghanistan,AFG,AFG,352000
2010,10,Armenia,ARM,ARM,10,Armenia,ARM,ARM,8400
2010,13,Azerbaijan,AZE,AZE,13,Azerbaijan,AZE,AZE,593000
2010,16,Burundi,BDI,BDI,16,Burundi,BDI,BDI,100000
2010,20,Bangladesh,BGD,BGD,20,Bangladesh,BGD,BGD,426000
2010,29,Bosnia and Herzegovina,BSN,BIH,29,Bosnia and Herzegovina,BSN,BIH,113000
2010,34,Central African Rep.,CAR,CAF,34,Central African Rep.,CAR,CAF,192000
2010,36,Chad,CHD,TCD,36,Chad,CHD,TCD,171000
2010,40,Congo,COB,COG,40,Congo,COB,COG,7800
2010,41,Dem. Rep. of the Congo,COD,COD,41,Dem. Rep. of the Congo,COD,COD,1700000
2010,44,Colombia,COL,COL,44,Colombia,COL,COL,5196000
2010,48,Cyprus,CYP,CYP,48,Cyprus,CYP,CYP,208000
2010,56,Eritrea,ERT,ERI,56,Eritrea,ERT,ERI,10000
2010,58,Ethiopia,ETH,ETH,58,Ethiopia,ETH,ETH,300000
2010,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,160000
2010,71,Georgia,GEO,GEO,71,Georgia,GEO,GEO,257000
2010,84,Croatia,HRV,HRV,84,Croatia,HRV,HRV,2300
2010,87,Cote d'Ivoire,ICO,CIV,87,Cote d'Ivoire,ICO,CIV,522000
2010,88,India,IND,IND,88,India,IND,IND,650000
2010,89,Indonesia,INS,IDN,89,Indonesia,INS,IDN,200000
2010,92,Iraq,IRQ,IRQ,92,Iraq,IRQ,IRQ,2800000
2010,99,Kenya,KEN,KEN,99,Kenya,KEN,KEN,250000
2010,100,Kyrgyzstan,KGZ,KGZ,100,Kyrgyzstan,KGZ,KGZ,75000
2010,106,Liberia,LBR,LBR,106,Liberia,LBR,LBR,23000
2010,109,Lebanon,LEB,LBN,109,Lebanon,LEB,LBN,75000
2010,112,Sri Lanka,LKA,LKA,112,Sri Lanka,LKA,LKA,327000
2010,120,North Macedonia,MCD,MKD,120,North Macedonia,MCD,MKD,640
2010,124,Mexico,MEX,MEX,124,Mexico,MEX,MEX,123000
