year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,total
1952,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,103137
1952,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,85660
1952,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,206014
1953,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,479243
1953,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,100942
1953,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,85182
1953,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,209229
1954,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,493109
1954,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,102851
1954,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,86669
1954,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,212620
1955,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,505704
1955,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,101536
1955,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,88958
1955,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,216227
1956,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,511413
1956,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,103167
1956,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,90919
1956,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,219423
1957,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,534604
1957,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,108748
1957,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,97007
1957,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,227427
1958,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,586706
1958,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,129228
1958,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,109506
1958,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,245343
1959,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,604236
1959,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,134569
1959,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,112949
1959,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,251976
1960,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,623660
1960,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,137884
1960,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,116778
1960,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,258165
1961,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,633197
1961,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,142670
1961,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,120577
1961,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,265430
1962,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,644940
1962,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,146969
1962,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,124626
1962,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,273038
1963,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,662525
1963,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,152747
1963,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,129010
1963,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,283782
1964,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,678985
1964,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,157274
1964,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,133366
1964,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,293024
1965,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,697658
1965,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,162499
1965,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,138081
1965,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,301879
1966,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,714763
1966,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,161262
1966,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,142206
1966,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,311846
1967,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,668453
1967,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,122967
1967,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,127304
1967,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,295040
1968,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,478369
1968,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,168927
1968,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,151730
1968,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,576889
1969,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,499460
1969,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,173539
1969,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,156635
1969,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,580025
1970,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,520997
1970,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,177862
1970,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,160932
1970,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,585231
1971,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,542549
1971,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,181764
1971,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,166099
1971,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,596684
1972,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,557971
1972,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,185597
1972,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,171230
1972,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,608237
1973,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,582400
1973,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,189277
